cuda
Epoch [396/500], Loss: nan
Epoch [398/500], Loss: nan
Epoch [400/500], Loss: nan
Epoch [402/500], Loss: nan
Epoch [404/500], Loss: nan
Epoch [406/500], Loss: nan
Epoch [408/500], Loss: nan
Epoch [410/500], Loss: nan
Epoch [412/500], Loss: nan
Epoch [414/500], Loss: nan
Epoch [416/500], Loss: nan
Epoch [418/500], Loss: nan
Epoch [420/500], Loss: nan
Epoch [422/500], Loss: nan
Epoch [424/500], Loss: nan
Epoch [426/500], Loss: nan
Epoch [428/500], Loss: nan
Epoch [430/500], Loss: nan
Epoch [432/500], Loss: nan
Epoch [434/500], Loss: nan
Epoch [436/500], Loss: nan
Epoch [438/500], Loss: nan
Epoch [440/500], Loss: nan
Epoch [442/500], Loss: nan
Epoch [444/500], Loss: nan
Epoch [446/500], Loss: nan
Epoch [448/500], Loss: nan
Epoch [450/500], Loss: nan
Epoch [452/500], Loss: nan
Epoch [454/500], Loss: nan
Epoch [456/500], Loss: nan
Epoch [458/500], Loss: nan
Epoch [460/500], Loss: nan
Epoch [462/500], Loss: nan
Epoch [464/500], Loss: nan
Epoch [466/500], Loss: nan
Epoch [468/500], Loss: nan
Epoch [470/500], Loss: nan
Epoch [472/500], Loss: nan
Epoch [474/500], Loss: nan
Epoch [476/500], Loss: nan
Epoch [478/500], Loss: nan
Epoch [480/500], Loss: nan
Epoch [482/500], Loss: nan
Epoch [484/500], Loss: nan
Epoch [486/500], Loss: nan
Epoch [488/500], Loss: nan
Epoch [490/500], Loss: nan
Epoch [492/500], Loss: nan
Epoch [494/500], Loss: nan
Epoch [496/500], Loss: nan
Epoch [498/500], Loss: nan
Traceback (most recent call last):
  File "TransitionModel.py", line 138, in <module>
    train_predict = mdnrnn(dataX[size-1000:size])
  File "/mnt/storage/software/languages/anaconda/Anaconda3-2019.07/lib/python3.7/site-packages/torch/nn/modules/module.py", line 547, in __call__
    result = self.forward(*input, **kwargs)
TypeError: forward() missing 1 required positional argument: 'h'
